Persepolis: The Story of a Childhood::Satrapi, Marjane::graphic novel
Persepolis 2: The Story of a Return::Satrapi, Marjane::graphic novel
To Kill a Mockingbird::Lee, Harper::literature::english::usa
Night (The Night Trilogy, #1)::Wiesel, Elie::literature
A Separate Peace::Knowles, John::literature::english::usa
Cry, the Beloved Country::Paton, Alan::literature::english::south africa
Critical Theory Today::Tyson, Lois::lit crit
Rolling Stone's Alt-Rock-A-Rama::Schinder, Scott::music::english::usa
Main Lines, Blood Feasts, and Bad Taste::Bangs, Lester::music::english::usa
Let it Blurt::Derogatis, Jim::biography::english::usa
Basquiat: A Quick Killing in Art::Hoban, Phoebe::biography::english::usa
The Philosophy of Andy Warhol::Warhol, Andy::art::english::usa
POPism: The Warhol Sixties::Warhol, Andy::art::english::usa
Rendezvous with Rama (Rama, #1)::Clarke, Arthur C.::sci fi::english::england
Time Out Of Joint::Dick, Philip K.::sci fi::english::usa
The Secret Agent::Conrad, Joseph::literature::english::england
Sons and Lovers::Lawrence, D.H.::literature::english::england
To the Lighthouse::Woolf, Virginia::literature::english::england
Ulysses::Joyce, James::literature::english::ireland::1922
An Uncommon Friendship::Rosner, Bernat::history
King Leopold's Ghost::Hochschild, Adam::history
Agent Zigzag::Macintyre, Ben::history
Being There::Kosiński, Jerzy::literature::english::usa
Cash::Cash, Johnny::music::english::usa
The Dirt::Lee, Tommy::music::english::usa
Ghost World::Clowes, Daniel::graphic novel::english::usa
Howl and Other Poems::Ginsberg, Allen::poetry::english::usa
Once in a Promised Land::Halaby, Laila::literature::english::usa
The Clash of Barbarisms::Achcar, Gilbert::politics
Futuretrack 5::Westall, Robert::sci fi::english
Across a Hundred Mountains::Grande, Reyna::literature::english::usa
A Man Without a Country::Vonnegut, Kurt::essays::english::usa
Radio Free Albemuth::Dick, Philip K.::sci fi::english::usa
A Room of One's Own::Woolf, Virginia::essays::english::england
Of Mice and Men::Steinbeck, John::literature::english::usa
The Sun Also Rises::Hemingway, Ernest::literature::english::usa
Lord of the Flies::Golding, William::literature::english::england
Into the Wild::Krakauer, Jon::non fiction::english::usa
Heart of Darkness and the Congo Diary::Conrad, Joseph::literature::english::england
How to Read Derrida::Deutscher, Penelope::philosophy
How to Read Lacan::Žižek, Slavoj::psychology
Violence::Žižek, Slavoj::politics
The Andromeda Strain::Crichton, Michael::sci fi::english::usa
Brave New World::Huxley, Aldous::literature::english::england
The Tin Drum::Grass, Günter::literature::german::germany
A Doll's House::Ibsen, Henrik::plays::norwegian::norway
Ghosts::Ibsen, Henrik::plays::norwegian::norway
In the Empire of Genghis Khan::Stewart, Stanley::travel::english
My Childhood::Gorky, Maxim::literature::russian::russia
Burning in Water, Drowning in Flame::Bukowski, Charles::poetry::english::usa
Teach Yourself Postmodernism::Ward, Glenn::philosophy
Introducing Postmodernism::Appignanesi, Richard::philosophy
A Short History of Guatemala::Woodward, Ralph Lee::history
V for Vendetta::Moore, Alan::graphic novel::english::england
Watchmen::Moore, Alan::graphic novel::english::england
The Concept of the Political::Schmitt, Carl::politics::german::germany
Capitalism and Freedom::Friedman, Milton::politics::english::usa
The Marxist System::Freedman, Robert::politics
Unmaking the Public University::Newfield, Christopher::politics
Trainspotting::Welsh, Irvine::literature::english::scotland
Candide::Voltaire::literature::french::france
The Sirens of Titan::Vonnegut, Kurt::literature::english::usa
Player Piano::Vonnegut, Kurt::literature::english::usa
